"STATISTIC Label","Year","Product","UNIT","VALUE"
"Production of Dairy Products","1992","Cheese","000 Tonnes","93.5"
"Production of Dairy Products","1992","Butter","000 Tonnes","115.7"
"Production of Dairy Products","1992","Skimmed Milk Powder","000 Tonnes","97"
"Production of Dairy Products","1993","Cheese","000 Tonnes","92.7"
"Production of Dairy Products","1993","Butter","000 Tonnes","111.7"
"Production of Dairy Products","1993","Skimmed Milk Powder","000 Tonnes","102.5"
"Production of Dairy Products","1994","Cheese","000 Tonnes","92.7"
"Production of Dairy Products","1994","Butter","000 Tonnes","126.9"
"Production of Dairy Products","1994","Skimmed Milk Powder","000 Tonnes","129.3"
"Production of Dairy Products","1995","Cheese","000 Tonnes","79.9"
"Production of Dairy Products","1995","Butter","000 Tonnes","142.3"
"Production of Dairy Products","1995","Skimmed Milk Powder","000 Tonnes","114.8"
"Production of Dairy Products","1996","Cheese","000 Tonnes","97"
"Production of Dairy Products","1996","Butter","000 Tonnes","142"
"Production of Dairy Products","1996","Skimmed Milk Powder","000 Tonnes","119"
"Production of Dairy Products","1997","Cheese","000 Tonnes","96.7"
"Production of Dairy Products","1997","Butter","000 Tonnes","138.6"
"Production of Dairy Products","1997","Skimmed Milk Powder","000 Tonnes","101.6"
"Production of Dairy Products","1998","Cheese","000 Tonnes","94.7"
"Production of Dairy Products","1998","Butter","000 Tonnes","131.1"
"Production of Dairy Products","1998","Skimmed Milk Powder","000 Tonnes","90.9"
"Production of Dairy Products","1999","Cheese","000 Tonnes","101.8"
"Production of Dairy Products","1999","Butter","000 Tonnes","135.3"
"Production of Dairy Products","1999","Skimmed Milk Powder","000 Tonnes","84.4"
"Production of Dairy Products","2000","Cheese","000 Tonnes","98.5"
"Production of Dairy Products","2000","Butter","000 Tonnes","135.4"
"Production of Dairy Products","2000","Skimmed Milk Powder","000 Tonnes","78.8"
"Production of Dairy Products","2001","Cheese","000 Tonnes","122.8"
"Production of Dairy Products","2001","Butter","000 Tonnes","129.3"
"Production of Dairy Products","2001","Skimmed Milk Powder","000 Tonnes","86.3"
"Production of Dairy Products","2002","Cheese","000 Tonnes","115.9"
"Production of Dairy Products","2002","Butter","000 Tonnes","135.2"
"Production of Dairy Products","2002","Skimmed Milk Powder","000 Tonnes","97.2"
"Production of Dairy Products","2003","Cheese","000 Tonnes","112"
"Production of Dairy Products","2003","Butter","000 Tonnes","140.1"
"Production of Dairy Products","2003","Skimmed Milk Powder","000 Tonnes","78.4"
"Production of Dairy Products","2004","Cheese","000 Tonnes","118"
"Production of Dairy Products","2004","Butter","000 Tonnes","136.9"
"Production of Dairy Products","2004","Skimmed Milk Powder","000 Tonnes","65.9"
"Production of Dairy Products","2005","Cheese","000 Tonnes","118.8"
"Production of Dairy Products","2005","Butter","000 Tonnes","143"
"Production of Dairy Products","2005","Skimmed Milk Powder","000 Tonnes",""
"Production of Dairy Products","2006","Cheese","000 Tonnes","136.9"
"Production of Dairy Products","2006","Butter","000 Tonnes","139.1"
"Production of Dairy Products","2006","Skimmed Milk Powder","000 Tonnes","68.5"
"Production of Dairy Products","2007","Cheese","000 Tonnes","140.4"
"Production of Dairy Products","2007","Butter","000 Tonnes","141.4"
"Production of Dairy Products","2007","Skimmed Milk Powder","000 Tonnes","82.6"
"Production of Dairy Products","2008","Cheese","000 Tonnes","174.5"
"Production of Dairy Products","2008","Butter","000 Tonnes","123.8"
"Production of Dairy Products","2008","Skimmed Milk Powder","000 Tonnes","55"
"Production of Dairy Products","2009","Cheese","000 Tonnes","162.6"
"Production of Dairy Products","2009","Butter","000 Tonnes","120.34"
"Production of Dairy Products","2009","Skimmed Milk Powder","000 Tonnes","74.7"
"Production of Dairy Products","2010","Cheese","000 Tonnes","171.8"
"Production of Dairy Products","2010","Butter","000 Tonnes","135.12"
"Production of Dairy Products","2010","Skimmed Milk Powder","000 Tonnes","60.3"
"Production of Dairy Products","2011","Cheese","000 Tonnes","179.9"
"Production of Dairy Products","2011","Butter","000 Tonnes","145.92"
"Production of Dairy Products","2011","Skimmed Milk Powder","000 Tonnes","66.5"
"Production of Dairy Products","2012","Cheese","000 Tonnes","185.5"
"Production of Dairy Products","2012","Butter","000 Tonnes","145"
"Production of Dairy Products","2012","Skimmed Milk Powder","000 Tonnes","52.3"
"Production of Dairy Products","2013","Cheese","000 Tonnes","182.8"
"Production of Dairy Products","2013","Butter","000 Tonnes","152.1"
"Production of Dairy Products","2013","Skimmed Milk Powder","000 Tonnes","49.5"
"Production of Dairy Products","2014","Cheese","000 Tonnes","188.4"
"Production of Dairy Products","2014","Butter","000 Tonnes","166.4"
"Production of Dairy Products","2014","Skimmed Milk Powder","000 Tonnes","70.6"
"Production of Dairy Products","2015","Cheese","000 Tonnes","207.1"
"Production of Dairy Products","2015","Butter","000 Tonnes","187.5"
"Production of Dairy Products","2015","Skimmed Milk Powder","000 Tonnes","99.1"
"Production of Dairy Products","2016","Cheese","000 Tonnes","205"
"Production of Dairy Products","2016","Butter","000 Tonnes","198.7"
"Production of Dairy Products","2016","Skimmed Milk Powder","000 Tonnes","117.7"
"Production of Dairy Products","2017","Cheese","000 Tonnes","259.4"
"Production of Dairy Products","2017","Butter","000 Tonnes","223.7"
"Production of Dairy Products","2017","Skimmed Milk Powder","000 Tonnes","119.8"
"Production of Dairy Products","2018","Cheese","000 Tonnes","269.4"
"Production of Dairy Products","2018","Butter","000 Tonnes","237.8"
"Production of Dairy Products","2018","Skimmed Milk Powder","000 Tonnes","133.8"
"Production of Dairy Products","2019","Cheese","000 Tonnes","278.4"
"Production of Dairy Products","2019","Butter","000 Tonnes","250.8"
"Production of Dairy Products","2019","Skimmed Milk Powder","000 Tonnes","142.5"
"Production of Dairy Products","2020","Cheese","000 Tonnes","285.4"
"Production of Dairy Products","2020","Butter","000 Tonnes","264.73"
"Production of Dairy Products","2020","Skimmed Milk Powder","000 Tonnes","150.14"
"Production of Dairy Products","2021","Cheese","000 Tonnes","287.03"
"Production of Dairy Products","2021","Butter","000 Tonnes","275.6"
"Production of Dairy Products","2021","Skimmed Milk Powder","000 Tonnes","147.65"
"Production of Dairy Products","2022","Cheese","000 Tonnes","282.48"
"Production of Dairy Products","2022","Butter","000 Tonnes","269.2"
"Production of Dairy Products","2022","Skimmed Milk Powder","000 Tonnes","173.69"
"Production of Dairy Products","2023","Cheese","000 Tonnes","284.9"
"Production of Dairy Products","2023","Butter","000 Tonnes","273.2"
"Production of Dairy Products","2023","Skimmed Milk Powder","000 Tonnes","167.18"
